Ufr-Blu-Lfu.: [u, l U l']
Ruf-Fld-Ful.: [u, l D l']
Urb-Blu-Lfu.: [u, l U2 l']
Ruf-Dbr-Ful.: [u, l D2 l']
Bdl-Blu-Lfu.: [u, l U' l']
Ruf-Drf-Ful.: [u, l D' l']
Fru-Rbu-Ubl.: [u, r U r']
Brd-Bur-Lub.: [u, r D r']
Fru-Rbu-Ulf.: [u, r U2 r']
Dfl-Bur-Lub.: [u, r D2 r']
Fdr-Fru-Rbu.: [u, r U' r']
Dlb-Bur-Lub.: [u, r D' r']
Fru-Urb-Lfu.: [u, f U f']
Rfd-Ruf-Bur.: [u, f D f']
Fru-Ubl-Lfu.: [u, f U2 f']
Dlb-Ruf-Bur.: [u, f D2 f']
Fru-Ldf-Lfu.: [u, f U' f']
Dbr-Ruf-Bur.: [u, f D' f']
Rbu-Blu-Ulf.: [u, b U b']
Lbd-Lub-Ful.: [u, b D b']
Ufr-Rbu-Blu.: [u, b U2 b']
Drf-Lub-Ful.: [u, b D2 b']
Rdb-Rbu-Blu.: [u, b U' b']
Dfl-Lub-Ful.: [u, b D' b']
Fru-Bdl-Urb.: [r, U' l U]
Drf-Brd-Ruf.: [r, U' f U]
Fru-Dfl-Urb.: [r, U' l2 U]
Drf-Brd-Ubl.: [r, U' f2 U]
Urb-Fru-Ful.: [r, U' l' U]
Drf-Brd-Ldf.: [r, U' f' U]
Drf-Brd-Ful.: [r, D' l D]
Fru-Rdb-Urb.: [r, D' b D]
Drf-Brd-Ubl.: [r, D' l2 D]
Fru-Dfl-Urb.: [r, D' b2 D]
Drf-Brd-Bdl.: [r, D' l' D]
Urb-Fru-Lub.: [r, D' b' D]
Fru-Drf-Ubl.: [r, F' l F]
Rfd-Brd-Urb.: [r, F' d F]
Drf-Bdl-Fru.: [r, F' l2 F]
Brd-Urb-Ful.: [r, F' d2 F]
Drf-Dfl-Fru.: [r, F' l' F]
Lbd-Brd-Urb.: [r, F' d' F]
Dfl-Brd-Urb.: [r, B' l B]
Fru-Drf-Rbu.: [r, B' u B]
Brd-Urb-Ful.: [r, B' l2 B]
Drf-Bdl-Fru.: [r, B' u2 B]
Brd-Urb-Ubl.: [r, B' l' B]
Fru-Drf-Lfu.: [r, B' u' B]
Ufr-Lbd-Bur.: [r, u' L u]
Fru-Drf-Ful.: [r, u' R u]
Ufr-Ldf-Bur.: [r, u' L2 u]
Drf-Rfd-Fru.: [r, u' R2 u]
Bur-Ufr-Blu.: [r, u' L' u]
Drf-Rdb-Fru.: [r, u' R' u]
Fdr-Dbr-Lfu.: [r, d' L d]
Bdl-Brd-Urb.: [r, d' R d]
Fdr-Dbr-Lub.: [r, d' L2 d]
