LFd-BRu-DFr-BDr-UBr.: [r, D L R D']
BRu-DFr-BDr-UBr-LUf.: [r, D L2 R D']
LBu-BRu-DFr-BDr-UBr.: [r, D L' R D']
DFr-BDr-UBr-LFd-URf.: [r, D L R2 D']
URf-DFr-BDr-UBr-LUf.: [r, D L2 R2 D']
DFr-BDr-UBr-LBu-URf.: [r, D L' R2 D']
LDb-FUr-DFr-BDr-UFl.: [r, F2 D F2 D']
DRb-BUl-BDr-UBr-FUr.: [r, B2 D B2 D']
LFd-FRd-DFr-BDr-UBr.: [r, D L R' D']
FRd-DFr-BDr-UBr-LUf.: [r, D L2 R' D']
LBu-FRd-DFr-BDr-UBr.: [r, D L' R' D']
DFr-BDr-LUf-DRb-FUr.: [r, F L R F']
DFr-BDr-LBu-DRb-FUr.: [r, F L2 R F']
DFr-BDr-LDb-DRb-FUr.: [r, F L' R F']
DFr-BUl-LFd-UBr-FUr.: [r, U2 F U2 F']
DFr-BDr-LUf-BRu-FUr.: [r, F L R2 F']
DFr-BDr-LBu-BRu-FUr.: [r, F L2 R2 F']
DFr-BDr-LDb-BRu-FUr.: [r, F L' R2 F']
FRd-DBl-DFr-BDr-UBr.: [r, D2 F D2 F']
DFr-BDr-LUf-URf-FUr.: [r, F L R' F']
DFr-BDr-LBu-URf-FUr.: [r, F L2 R' F']
DFr-BDr-LDb-URf-FUr.: [r, F L' R' F']
LDb-URf-BDr-UBr-FUr.: [r, B L R B']
LFd-URf-BDr-UBr-FUr.: [r, B L2 R B']
LUf-URf-BDr-UBr-FUr.: [r, B L' R B']
UBr-FUr-DFr-BRu-UFl.: [r, U2 B U2 B']
LDb-FRd-BDr-UBr-FUr.: [r, B L R2 B']
LFd-FRd-BDr-UBr-FUr.: [r, B L2 R2 B']
LUf-FRd-BDr-UBr-FUr.: [r, B L' R2 B']
FDl-LBu-DFr-BDr-UBr.: [r, D2 B D2 B']
LDb-DRb-BDr-UBr-FUr.: [r, B L R' B']
LFd-DRb-BDr-UBr-FUr.: [r, B L2 R' B']
LUf-DRb-BDr-UBr-FUr.: [r, B L' R' B']
LFd-BLd-RBd-DBl-FUr.: [d, L' U D L]
LFd-BLd-RBd-DBl-RUb.: [d, L' U2 D L]
LFd-BLd-RBd-DBl-BUl.: [d, L' U' D L]
LFd-BLd-RBd-DRb-FUr.: [d, L' U D2 L]
LFd-BLd-RBd-DRb-RUb.: [d, L' U2 D2 L]
LFd-BLd-RBd-DRb-BUl.: [d, L' U' D2 L]
FRd-LFd-BLd-RFu-DLf.: [d, F2 L' F2 L]
BRu-BLd-RBd-FRd-LUf.: [d, B2 L' B2 L]
LFd-BLd-RBd-DFr-FUr.: [d, L' U D' L]
LFd-BLd-RBd-DFr-RUb.: [d, L' U2 D' L]
LFd-BLd-RBd-DFr-BUl.: [d, L' U' D' L]
RBd-FRd-LFd-DFr-BUl.: [d, R' U D R]
RBd-FRd-LFd-DFr-LUf.: [d, R' U2 D R]
RBd-FRd-LFd-DFr-FUr.: [d, R' U' D R]
RBd-FRd-LFd-DLf-BUl.: [d, R' U D2 R]
RBd-FRd-LFd-DLf-LUf.: [d, R' U2 D2 R]
RBd-FRd-LFd-DLf-FUr.: [d, R' U' D2 R]
FLu-FRd-LFd-BLd-RUb.: [d, F2 R' F2 R]
BLd-RBd-FRd-LBu-DRb.: [d, B2 R' B2 R]
RBd-FRd-LFd-DBl-BUl.: [d, R' U D' R]
RBd-FRd-LFd-DBl-LUf.: [d, R' U2 D' R]
RBd-FRd-LFd-DBl-FUr.: [d, R' U' D' R]
FRd-LFd-BLd-DLf-RUb.: [d, F' U D F]
FRd-LFd-BLd-DLf-BUl.: [d, F' U2 D F]
FRd-LFd-BLd-DLf-LUf.: [d, F' U' D F]
LBu-LFd-BLd-RBd-FUr.: [d, L2 F' L2 F]
RBd-FRd-LFd-BRu-DFr.: [d, R2 F' R2 F]
FRd-LFd-BLd-DBl-RUb.: [d, F' U D2 F]
FRd-LFd-BLd-DBl-BUl.: [d, F' U2 D2 F]
FRd-LFd-BLd-DBl-LUf.: [d, F' U' D2 F]
FRd-LFd-BLd-DRb-RUb.: [d, F' U D' F]
FRd-LFd-BLd-DRb-BUl.: [d, F' U2 D' F]
FRd-LFd-BLd-DRb-LUf.: [d, F' U' D' F]
BLd-RBd-FRd-DRb-LUf.: [d, B' U D B]
BLd-RBd-FRd-DRb-FUr.: [d, B' U2 D B]
BLd-RBd-FRd-DRb-RUb.: [d, B' U' D B]
LFd-BLd-RBd-FLu-DBl.: [d, L2 B' L2 B]
RFu-RBd-FRd-LFd-BUl.: [d, R2 B' R2 B]
BLd-RBd-FRd-DFr-LUf.: [d, B' U D2 B]
BLd-RBd-FRd-DFr-FUr.: [d, B' U2 D2 B]
BLd-RBd-FRd-DFr-RUb.: [d, B' U' D2 B]
BLd-RBd-FRd-DLf-LUf.: [d, B' U D' B]
BLd-RBd-FRd-DLf-FUr.: [d, B' U2 D' B]
BLd-RBd-FRd-DLf-RUb.: [d, B' U' D' B]
LFd-BLd-RBd-FLu-UFl.: [d, F' L2 F L2]
LBu-LFd-BLd-RBd-BDr.: [d, B' L2 B L2]
LFd-BLd-RBd-FLu-DFr.: [d, F L2 F' L2]
LBu-LFd-BLd-RBd-BUl.: [d, B L2 B' L2]
RFu-RBd-FRd-LFd-FDl.: [d, F' R2 F R2]
RBd-FRd-LFd-BRu-UBr.: [d, B' R2 B R2]
RFu-RBd-FRd-LFd-FUr.: [d, F R2 F' R2]
RBd-FRd-LFd-BRu-DBl.: [d, B R2 B' R2]
FLu-FRd-LFd-BLd-LDb.: [d, L' F2 L F2]
FRd-LFd-BLd-RFu-URf.: [d, R' F2 R F2]
FLu-FRd-LFd-BLd-LUf.: [d, L F2 L' F2]
FRd-LFd-BLd-RFu-DRb.: [d, R F2 R' F2]
BLd-RBd-FRd-LBu-ULb.: [d, L' B2 L B2]
BRu-BLd-RBd-FRd-RDf.: [d, R' B2 R B2]
BLd-RBd-FRd-LBu-DLf.: [d, L B2 L' B2]
BRu-BLd-RBd-FRd-RUb.: [d, R B2 R' B2]
BDr-LFd-BLd-RBd-UFl.: [d, L U D L']
BDr-LFd-BLd-RBd-URf.: [d, L U2 D L']
BDr-LFd-BLd-RBd-UBr.: [d, L U' D L']
RDf-LFd-BLd-RBd-UFl.: [d, L U D2 L']
RDf-LFd-BLd-RBd-URf.: [d, L U2 D2 L']
RDf-LFd-BLd-RBd-UBr.: [d, L U' D2 L']
FRd-LFd-BLd-RFu-ULb.: [d, F2 L F2 L']
BRu-BLd-RBd-FRd-LDb.: [d, B2 L B2 L']
FDl-LFd-BLd-RBd-UFl.: [d, L U D' L']
FDl-LFd-BLd-RBd-URf.: [d, L U2 D' L']
FDl-LFd-BLd-RBd-UBr.: [d, L U' D' L']
FDl-RBd-FRd-LFd-UBr.: [d, R U D R']
FDl-RBd-FRd-LFd-ULb.: [d, R U2 D R']
FDl-RBd-FRd-LFd-UFl.: [d, R U' D R']
LDb-RBd-FRd-LFd-UBr.: [d, R U D2 R']
LDb-RBd-FRd-LFd-ULb.: [d, R U2 D2 R']
LDb-RBd-FRd-LFd-UFl.: [d, R U' D2 R']
FLu-FRd-LFd-BLd-RDf.: [d, F2 R F2 R']
BLd-RBd-FRd-LBu-URf.: [d, B2 R B2 R']
BDr-RBd-FRd-LFd-UBr.: [d, R U D' R']
BDr-RBd-FRd-LFd-ULb.: [d, R U2 D' R']
BDr-RBd-FRd-LFd-UFl.: [d, R U' D' R']
LDb-FRd-LFd-BLd-URf.: [d, F U D F']
LDb-FRd-LFd-BLd-UBr.: [d, F U2 D F']
LDb-FRd-LFd-BLd-ULb.: [d, F U' D F']
LBu-LFd-BLd-RBd-FDl.: [d, L2 F L2 F']
RBd-FRd-LFd-BRu-UFl.: [d, R2 F R2 F']
BDr-FRd-LFd-BLd-URf.: [d, F U D2 F']
BDr-FRd-LFd-BLd-UBr.: [d, F U2 D2 F']
BDr-FRd-LFd-BLd-ULb.: [d, F U' D2 F']
RDf-FRd-LFd-BLd-URf.: [d, F U D' F']
RDf-FRd-LFd-BLd-UBr.: [d, F U2 D' F']
RDf-FRd-LFd-BLd-ULb.: [d, F U' D' F']
RDf-BLd-RBd-FRd-ULb.: [d, B U D B']
RDf-BLd-RBd-FRd-UFl.: [d, B U2 D B']
