LDb-DLf-FLu-LFd-FUr.: [L, D' r2 D2 r' D']
DLf-RBd-BLd-LFd-LUf.: [L, B' F l B F']
DLf-RBd-BLd-LFd-LUf.: [L, F B' l B F']
RFu-FLu-LBu-LDb-ULb.: [L, B' F r B F']
RFu-FLu-LBu-LDb-ULb.: [L, F B' r B F']
FRd-LFd-BLd-DLf-LUf.: [L, B' F l' B F']
FRd-LFd-BLd-DLf-LUf.: [L, F B' l' B F']
LDb-BRu-LBu-FLu-ULb.: [L, B' F r' B F']
LDb-BRu-LBu-FLu-ULb.: [L, F B' r' B F']
BUl-FLu-LFd-LUf-ULb.: [L, F' l2 F2 l F']
LBu-FLu-ULb-LDb-UFl.: [L, u2 F u2 r F']
RFu-FLu-LFd-LUf-ULb.: [L, F' l F2 l2 F']
LBu-FLu-ULb-LDb-UFl.: [L, u2 F r u2 F']
LBu-LFd-LUf-LDb-UFl.: [L, F2 u2 F' u2 F']
LUf-FRd-LFd-FLu-ULb.: [L, F' r' F2 r2 F']
BLd-FLu-ULb-DLf-FUr.: [L, F2 d2 F' d2 F']
BLd-LFd-LUf-DLf-FUr.: [L, d2 F l' d2 F']
DRb-BUl-LDb-LFd-LUf.: [L, F D l2 D' F']
RDf-UBr-DLf-FLu-ULb.: [L, F D r2 D' F']
BLd-LFd-LUf-DLf-FUr.: [L, d2 F d2 l' F']
LUf-UBr-LFd-FLu-ULb.: [L, F' r2 F2 r' F']
RFu-FLu-LBu-LDb-ULb.: [L, F' B l F B']
RFu-FLu-LBu-LDb-ULb.: [L, B F' l F B']
DLf-RBd-BLd-LFd-LUf.: [L, F' B r F B']
DLf-RBd-BLd-LFd-LUf.: [L, B F' r F B']
LDb-BRu-LBu-FLu-ULb.: [L, F' B l' F B']
LDb-BRu-LBu-FLu-ULb.: [L, B F' l' F B']
FRd-LFd-BLd-DLf-LUf.: [L, F' B r' F B']
FRd-LFd-BLd-DLf-LUf.: [L, B F' r' F B']
BLd-LBu-LDb-DLf-FDl.: [L, B' l2 B2 l B']
DBl-LFd-BLd-DLf-LUf.: [L, d2 B d2 r B']
RBd-BLd-LBu-LDb-DLf.: [L, B' l B2 l2 B']
BDr-FLu-BLd-DLf-ULb.: [L, B2 u2 B' u2 B']
BDr-FLu-LBu-LDb-ULb.: [L, u2 B l' u2 B']
LDb-BRu-LBu-BLd-DLf.: [L, B' r' B2 r2 B']
DBl-LFd-BLd-DLf-LUf.: [L, d2 B r d2 B']
DBl-LFd-LBu-LDb-LUf.: [L, B2 d2 B' d2 B']
LBu-LDb-URf-FDl-LUf.: [L, B U l2 U' B']
BLd-DLf-RUb-DFr-ULb.: [L, B U r2 U' B']
BDr-FLu-LBu-LDb-ULb.: [L, u2 B u2 l' B']
LBu-BLd-DLf-LDb-DFr.: [L, B' r2 B2 r' B']
LBu-FLu-RDf-DLf-LUf.: [L, d' u f d u']
LBu-FLu-RDf-DLf-LUf.: [L, u d' f d u']
LDb-LFd-BLd-RUb-ULb.: [L, d' u b d u']
LDb-LFd-BLd-RUb-ULb.: [L, u d' b d u']
DLf-FLu-LBu-URf-LUf.: [L, d' u f' d u']
DLf-FLu-LBu-URf-LUf.: [L, u d' f' d u']
BLd-LFd-DRb-LDb-ULb.: [L, d' u b' d u']
BLd-LFd-DRb-LDb-ULb.: [L, u d' b' d u']
FRd-LFd-LBu-LDb-LUf.: [L, u2 F2 u' F2 u']
LBu-FLu-RDf-DLf-LUf.: [L, d u f d' u']
