UL-DL-BR-FL-BL.*: [L', E L2 E']
UL-DL-BL-FL-DR.*: [L', S L2 S']
UF-UL-UR-DF-UB.*: [U', M' U2 M]
UF-UB-DR-UL-UR.*: [U', S' U2 S]
UF-UB-UR-UL-DB.*: [U', M U2 M']
UF-DL-UR-UL-UB.*: [U', S U2 S']
UR-BL-FR-BR-DR.*: [R', E' R2 E]
UR-DR-FR-BR-DL.*: [R', S' R2 S]
UR-DR-FL-BR-FR.*: [R', E R2 E']
UL-DR-UR-BR-FR.*: [R', S R2 S']
UB-DF-DB-DL-DR.*: [D', M' D2 M]
UL-DR-DL-DF-DB.*: [D', S' D2 S]
UF-DB-DF-DR-DL.*: [D', M D2 M']
UR-DL-DR-DB-DF.*: [D', S D2 S']
UF-DF-LF-RF-DB.*: [F', M' F2 M]
UF-RB-LF-RF-DF.*: [F', E' F2 E]
UF-RF-LF-UB-DF.*: [F', M F2 M']
UF-DF-LB-RF-LF.*: [F', E F2 E']
UF-DB-UB-LB-RB.*: [B', M' B2 M]
UB-LF-RB-LB-DB.*: [B', E' B2 E]
UB-DB-RB-LB-DF.*: [B', M B2 M']
UB-DB-RF-LB-RB.*: [B', E B2 E']
UF-UB-DF-BD-UR.*: [M', U F2 U]
UF-LU-BD-UB-DF.*: [M', U B2 U]
UF-FD-BU-BD-DL.*: [M', D F2 D]
UF-RD-BD-FD-BU.*: [M', D B2 D]
UF-DB-DF-FL-BU.*: [M', F U2 F]
UF-DB-BU-RF-DF.*: [M', F D2 F]
UF-FD-RB-UB-DB.*: [M', B U2 B]
UF-UB-BL-FD-DB.*: [M', B D2 B]
UF-UB-DF-BD-UL.*: [M', U' F2 U']
UF-RU-BD-UB-DF.*: [M', U' B2 U']
UF-FD-BU-BD-DR.*: [M', D' F2 D']
UF-LD-BD-FD-BU.*: [M', D' B2 D']
UF-DB-DF-FR-BU.*: [M', F' U2 F']
UF-DB-BU-LF-DF.*: [M', F' D2 F']
UF-FD-LB-UB-DB.*: [M', B' U2 B']
