Ruf-Rfd-Rdb-Fdr-Blu.: [R, f' l r f]
Rfd-Rdb-Fdr-Dlb-Ruf.: [R, f' l2 r f]
Rfd-Rdb-Fdr-Fld-Ruf.: [R, f' l' r f]
Ufr-Rbu-Ruf-Rfd-Lub.: [R, u2 f' u2 f]
Ruf-Rfd-Rdb-Dbr-Blu.: [R, f' l r2 f]
Rfd-Rdb-Dbr-Dlb-Ruf.: [R, f' l2 r2 f]
Rfd-Rdb-Dbr-Fld-Ruf.: [R, f' l' r2 f]
Lbd-Rfd-Rdb-Rbu-Ulf.: [R, d2 f' d2 f]
Ruf-Rfd-Rdb-Bur-Blu.: [R, f' l r' f]
Dlb-Ruf-Rfd-Rdb-Bur.: [R, f' l2 r' f]
Fld-Ruf-Rfd-Rdb-Bur.: [R, f' l' r' f]
Fld-Rdb-Rbu-Ruf-Bur.: [R, b' l r b]
Rdb-Rbu-Ruf-Bur-Ulf.: [R, b' l2 r b]
Rdb-Rbu-Ruf-Bur-Blu.: [R, b' l' r b]
Rbu-Ruf-Rfd-Dlb-Lfu.: [R, u2 b' u2 b]
Ruf-Ufr-Fld-Rdb-Rbu.: [R, b' l r2 b]
Rdb-Rbu-Ruf-Ufr-Ulf.: [R, b' l2 r2 b]
Rdb-Rbu-Ruf-Ufr-Blu.: [R, b' l' r2 b]
Ldf-Dbr-Rfd-Rdb-Rbu.: [R, d2 b' d2 b]
Ruf-Fdr-Fld-Rdb-Rbu.: [R, b' l r' b]
Rdb-Rbu-Ruf-Fdr-Ulf.: [R, b' l2 r' b]
Rdb-Rbu-Ruf-Fdr-Blu.: [R, b' l' r' b]
Rbu-Ruf-Rfd-Drf-Lfu.: [R, f' u2 f u2]
Ubl-Rbu-Ruf-Rfd-Lub.: [R, b' u2 b u2]
Rbu-Ruf-Rfd-Ulf-Lfu.: [R, f u2 f' u2]
Dbr-Rbu-Ruf-Rfd-Lub.: [R, b u2 b' u2]
Ldf-Dfl-Rfd-Rdb-Rbu.: [R, f' d2 f d2]
Urb-Lbd-Rfd-Rdb-Rbu.: [R, b' d2 b d2]
Ldf-Ufr-Rfd-Rdb-Rbu.: [R, f d2 f' d2]
Dlb-Lbd-Rfd-Rdb-Rbu.: [R, b d2 b' d2]
Ruf-Rfd-Rdb-Lfu-Ful.: [R, u' f2 u f2]
Rfd-Rdb-Brd-Ldf-Ruf.: [R, d' f2 d f2]
Bur-Ruf-Rfd-Rdb-Lfu.: [R, u f2 u' f2]
Rfd-Rdb-Fld-Ldf-Ruf.: [R, d f2 d' f2]
Rdb-Rbu-Ruf-Fru-Lub.: [R, u' b2 u b2]
Ruf-Lbd-Bdl-Rdb-Rbu.: [R, d' b2 d b2]
Rdb-Rbu-Ruf-Blu-Lub.: [R, u b2 u' b2]
Ruf-Lbd-Fdr-Rdb-Rbu.: [R, d b2 d' b2]
Drf-Rbu-Ruf-Rfd-Ubl.: [R, u l r u']
Ruf-Rfd-Bdl-Drf-Rbu.: [R, u l2 r u']
Ruf-Rfd-Dfl-Drf-Rbu.: [R, u l' r u']
Brd-Rbu-Ruf-Rfd-Ubl.: [R, u l r2 u']
Ruf-Rfd-Bdl-Brd-Rbu.: [R, u l2 r2 u']
Ruf-Rfd-Dfl-Brd-Rbu.: [R, u l' r2 u']
Rfd-Rdb-Fru-Ldf-Ruf.: [R, f2 u f2 u']
Rdb-Rbu-Ruf-Lbd-Ful.: [R, b2 u b2 u']
Urb-Rbu-Ruf-Rfd-Ubl.: [R, u l r' u']
Ruf-Rfd-Bdl-Urb-Rbu.: [R, u l2 r' u']
Ruf-Rfd-Dfl-Urb-Rbu.: [R, u l' r' u']
Dfl-Urb-Rfd-Rdb-Rbu.: [R, d l r d']
Urb-Rfd-Rdb-Rbu-Ful.: [R, d l2 r d']
Urb-Rfd-Rdb-Rbu-Ubl.: [R, d l' r d']
Dfl-Fru-Rfd-Rdb-Rbu.: [R, d l r2 d']
Fru-Rfd-Rdb-Rbu-Ful.: [R, d l2 r2 d']
Fru-Rfd-Rdb-Rbu-Ubl.: [R, d l' r2 d']
Bdl-Ruf-Rfd-Rdb-Lfu.: [R, f2 d f2 d']
Rdb-Rbu-Ruf-Brd-Lub.: [R, b2 d b2 d']
Dfl-Drf-Rfd-Rdb-Rbu.: [R, d l r' d']
Drf-Rfd-Rdb-Rbu-Ful.: [R, d l2 r' d']
Drf-Rfd-Rdb-Rbu-Ubl.: [R, d l' r' d']
Brd-Ruf-Rfd-Rdb-Ful.: [R, f l r f']
Brd-Ruf-Rfd-Rdb-Ubl.: [R, f l2 r f']
Rfd-Rdb-Bdl-Brd-Ruf.: [R, f l' r f']
Dfl-Rbu-Ruf-Rfd-Lub.: [R, u2 f u2 f']
Urb-Ruf-Rfd-Rdb-Ful.: [R, f l r2 f']
Urb-Ruf-Rfd-Rdb-Ubl.: [R, f l2 r2 f']
Ruf-Rfd-Rdb-Bdl-Urb.: [R, f l' r2 f']
Drf-Lbd-Rfd-Rdb-Rbu.: [R, d2 f d2 f']
Fru-Ruf-Rfd-Rdb-Ful.: [R, f l r' f']
Fru-Ruf-Rfd-Rdb-Ubl.: [R, f l2 r' f']
Rfd-Rdb-Bdl-Fru-Ruf.: [R, f l' r' f']
Ruf-Bdl-Fru-Rdb-Rbu.: [R, b l r b']
Ruf-Dfl-Fru-Rdb-Rbu.: [R, b l2 r b']
Fru-Rdb-Rbu-Ruf-Ful.: [R, b l' r b']
Rbu-Ruf-Rfd-Urb-Lfu.: [R, u2 b u2 b']
Ruf-Bdl-Drf-Rdb-Rbu.: [R, b l r2 b']
Ruf-Dfl-Drf-Rdb-Rbu.: [R, b l2 r2 b']
Drf-Rdb-Rbu-Ruf-Ful.: [R, b l' r2 b']
Rfd-Rdb-Rbu-Ldf-Ubl.: [R, d2 b d2 b']
Ruf-Bdl-Brd-Rdb-Rbu.: [R, b l r' b']
Ruf-Dfl-Brd-Rdb-Rbu.: [R, b l2 r' b']
Brd-Rdb-Rbu-Ruf-Ful.: [R, b l' r' b']
Dfl-Dlb-Dbr-Lbd-Ruf.: [D, l' u d l]
Dfl-Dlb-Dbr-Lbd-Bur.: [D, l' u2 d l]
Dfl-Dlb-Dbr-Lbd-Lub.: [D, l' u' d l]
Dfl-Dlb-Dbr-Brd-Ruf.: [D, l' u d2 l]
Dfl-Dlb-Dbr-Brd-Bur.: [D, l' u2 d2 l]
Dfl-Dlb-Dbr-Brd-Lub.: [D, l' u' d2 l]
Fld-Drf-Dfl-Dlb-Ufr.: [D, f2 l' f2 l]
Urb-Dlb-Dbr-Drf-Ful.: [D, b2 l' b2 l]
Dfl-Dlb-Dbr-Rfd-Ruf.: [D, l' u d' l]
Dfl-Dlb-Dbr-Rfd-Bur.: [D, l' u2 d' l]
Dfl-Dlb-Dbr-Rfd-Lub.: [D, l' u' d' l]
Dbr-Drf-Dfl-Rfd-Lub.: [D, r' u d r]
Dbr-Drf-Dfl-Rfd-Ful.: [D, r' u2 d r]
Dbr-Drf-Dfl-Rfd-Ruf.: [D, r' u' d r]
Dbr-Drf-Dfl-Fld-Lub.: [D, r' u d2 r]
Dbr-Drf-Dfl-Fld-Ful.: [D, r' u2 d2 r]
Dbr-Drf-Dfl-Fld-Ruf.: [D, r' u' d2 r]
Drf-Dfl-Dlb-Bur-Ulf.: [D, f2 r' f2 r]
Brd-Dlb-Dbr-Drf-Ubl.: [D, b2 r' b2 r]
Dbr-Drf-Dfl-Lbd-Lub.: [D, r' u d' r]
Dbr-Drf-Dfl-Lbd-Ful.: [D, r' u2 d' r]
Dbr-Drf-Dfl-Lbd-Ruf.: [D, r' u' d' r]
Drf-Dfl-Dlb-Fld-Bur.: [D, f' u d f]
Drf-Dfl-Dlb-Fld-Lub.: [D, f' u2 d f]
Drf-Dfl-Dlb-Fld-Ful.: [D, f' u' d f]
Dfl-Dlb-Dbr-Ruf-Ubl.: [D, l2 f' l2 f]
Rfd-Dbr-Drf-Dfl-Urb.: [D, r2 f' r2 f]
Drf-Dfl-Dlb-Lbd-Bur.: [D, f' u d2 f]
Drf-Dfl-Dlb-Lbd-Lub.: [D, f' u2 d2 f]
Drf-Dfl-Dlb-Lbd-Ful.: [D, f' u' d2 f]
Drf-Dfl-Dlb-Brd-Bur.: [D, f' u d' f]
Drf-Dfl-Dlb-Brd-Lub.: [D, f' u2 d' f]
Drf-Dfl-Dlb-Brd-Ful.: [D, f' u' d' f]
Dlb-Dbr-Drf-Brd-Ful.: [D, b' u d b]
Dlb-Dbr-Drf-Brd-Ruf.: [D, b' u2 d b]
Dlb-Dbr-Drf-Brd-Bur.: [D, b' u' d b]
Lbd-Dfl-Dlb-Dbr-Ulf.: [D, l2 b' l2 b]
Ufr-Dbr-Drf-Dfl-Lub.: [D, r2 b' r2 b]
Dlb-Dbr-Drf-Rfd-Ful.: [D, b' u d2 b]
Dlb-Dbr-Drf-Rfd-Ruf.: [D, b' u2 d2 b]
Dlb-Dbr-Drf-Rfd-Bur.: [D, b' u' d2 b]
Dlb-Dbr-Drf-Fld-Ful.: [D, b' u d' b]
Dlb-Dbr-Drf-Fld-Ruf.: [D, b' u2 d' b]
Dlb-Dbr-Drf-Fld-Bur.: [D, b' u' d' b]
Dfl-Dlb-Dbr-Ulf-Lfu.: [D, f' l2 f l2]
Dfl-Dlb-Dbr-Rdb-Ubl.: [D, b' l2 b l2]
Rfd-Dfl-Dlb-Dbr-Ulf.: [D, f l2 f' l2]
Ubl-Dfl-Dlb-Dbr-Lub.: [D, b l2 b' l2]
Dbr-Drf-Dfl-Ldf-Ufr.: [D, f' r2 f r2]
Dbr-Drf-Dfl-Urb-Rbu.: [D, b' r2 b r2]
Ufr-Dbr-Drf-Dfl-Ruf.: [D, f r2 f' r2]
Lbd-Dbr-Drf-Dfl-Urb.: [D, b r2 b' r2]
Drf-Dfl-Dlb-Bdl-Ulf.: [D, l' f2 l f2]
Drf-Dfl-Dlb-Ufr-Fru.: [D, r' f2 r f2]
Ulf-Drf-Dfl-Dlb-Ful.: [D, l f2 l' f2]
Brd-Drf-Dfl-Dlb-Ufr.: [D, r f2 r' f2]
Dlb-Dbr-Drf-Ubl-Blu.: [D, l' b2 l b2]
Dlb-Dbr-Drf-Fdr-Urb.: [D, r' b2 r b2]
Fld-Dlb-Dbr-Drf-Ubl.: [D, l b2 l' b2]
Urb-Dlb-Dbr-Drf-Bur.: [D, r b2 r' b2]
Rdb-Dfl-Dlb-Dbr-Lfu.: [D, l u d l']
Rdb-Dfl-Dlb-Dbr-Fru.: [D, l u2 d l']
Rdb-Dfl-Dlb-Dbr-Rbu.: [D, l u' d l']
Fdr-Dfl-Dlb-Dbr-Lfu.: [D, l u d2 l']
Fdr-Dfl-Dlb-Dbr-Fru.: [D, l u2 d2 l']
Fdr-Dfl-Dlb-Dbr-Rbu.: [D, l u' d2 l']
Drf-Dfl-Dlb-Ufr-Blu.: [D, f2 l f2 l']
Dlb-Dbr-Drf-Bdl-Urb.: [D, b2 l b2 l']
Ldf-Dfl-Dlb-Dbr-Lfu.: [D, l u d' l']
